Street,Area,City,Price,Alicuota,sqms,sqm_cov,Rooms,Toilets,Garages,Url,PricePerSqm,lat,lng
republica del salvador,La Carolina,Quito,620,['130'],80,['80'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/departamento-de-arriendo-republica-del-salvador-57793599.html,7.75,-0.1800651,-78.47982309999999
República del Salvador,Centro Norte,Quito,752,['148'],94,['82'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/departamento-en-renta-amoblado-piscina-republica-del-58000748.html,8.0,-0.1816018,-78.48028
Quitumbe,Sur de Quito,Quito,300,['0'],110,['110'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/quitumbe-departamento-110-m-sup2--3-habitaciones-2-57849662.html,2.727272727272727,-0.3074098,-78.52633050000001
Amazonas ,La Carolina,Quito,460,['1'],68,['68'],['2'],['1'],['1'],https://www.plusvalia.com/propiedades/departamento-de-alquiler-2-dorm.-57986638.html,6.764705882352941,-0.1856048,-78.4873879
AV. ELOY ALFARO Y GASPAR DE VILLARROEL,El Batán,Quito,720,['1'],100,['82'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/arriendo-departamento-amoblado-el-batan-alto-57779933.html,7.2,-0.1712991,-78.47069859999999
,Centro Norte,Quito,570,['0'],98,['86'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-hermoso-departamento-frente-al-udla-en-$570-58011411.html,5.816326530612245,-0.1775545,-78.4862109
,Bellavista,Quito,4500,['450'],600,['524'],['3'],['4'],['3'],https://www.plusvalia.com/propiedades/bellavista-espectacular-departamento-con-vista-y-57752189.html,7.5,-0.1872127,-78.4759048
Universidad Catolica,Centro Norte,Quito,600,['150'],108,['100'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/rento-espectacular-departamento-mac-sector-57869282.html,5.555555555555555,-0.2094529,-78.4918189
Gonzalez Suarez,Centro Norte,Quito,1600,['200'],100,['100'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-excelente-departamento-sector-gonzalez-suarez-57720643.html,16.0,-0.197548,-78.4801671
,Norte de Quito,Quito,530,['20'],7000,['130'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/rento-hermoso-departamento-3-habitaciones-$550-usd-57921081.html,0.07571428571428572,-0.3122637,-78.54190489999999
Jose andrade y Mariano Pozo,Ponceano,Quito,650,['70'],270,['270'],['4'],['4'],['2'],https://www.plusvalia.com/propiedades/en-renta-amplio-y-confortable-departamento-ponceano-57782424.html,2.4074074074074074,-0.0987535,-78.4799908
